dmfilename;ACOTourLength;ACOTour;ACOExecutionTime;ACOIterations;SATourLength;SATour;SAExecutionTime;SAIterations;PSOTourLength;PSOTour;PSOExecutionTime;PSOIterations
TSP_DATA_18x18_2024-05-22-17-00-37;45;12,11,10,14,8,15,6,4,5,7,16,9,17,13,3,1,0,2;3,5125;1;245;5,13,7,17,9,3,2,12,11,10,0,1,14,8,15,16,6,4;1,002;1;936;10,5,13,1,6,12,0,7,16,14,8,3,2,11,15,17,4,9;5,5442;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;3,1,0,2,12,11,10,14,8,15,6,4,5,7,16,9,17,13;3,0028;1;159;12,11,4,6,15,16,7,5,13,3,17,9,8,14,10,0,1,2;0;1;738;11,10,14,7,5,6,0,1,2,3,15,9,4,8,16,13,17,12;0,9978;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;3,1,0,2,12,11,10,14,8,15,6,4,5,7,16,9,17,13;2,5151;1;148;16,6,4,12,10,11,14,8,15,9,17,1,0,2,3,13,5,7;1,0042;1;733;2,9,0,1,4,6,7,17,14,8,10,12,13,5,16,15,11,3;0,9979;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;12,11,10,14,8,15,6,4,5,7,16,9,17,13,3,1,0,2;5,0332;1;57;11,10,0,1,3,2,12,15,8,14,6,16,9,17,7,13,5,4;4,0693;1;845;16,17,13,7,0,6,12,15,11,4,3,10,9,8,14,1,2,5;0,9993;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;12,11,10,14,8,15,6,4,5,7,16,9,17,13,3,1,0,2;3,0007;1;153;5,13,1,0,11,10,14,8,15,4,12,2,3,7,6,16,9,17;2,0004;1;653;2,11,17,13,5,7,8,0,3,4,16,6,9,15,10,14,12,1;1,5098;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;2,581;1;241;7,5,17,9,11,10,14,8,15,13,3,1,0,2,12,4,6,16;1,0021;1;838;17,15,8,12,13,3,14,11,0,1,4,16,9,5,7,6,2,10;0,998;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;3,1,0,2,12,11,10,14,8,15,6,4,5,7,16,9,17,13;3,4848;1;66;16,7,17,13,3,1,0,12,15,6,5,4,11,2,10,14,8,9;0;1;831;8,14,3,1,12,9,16,2,11,0,4,6,5,7,17,10,13,15;0,9985;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;14,8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10;3,0008;1;157;11,2,0,1,3,16,9,8,15,4,5,13,17,7,6,12,14,10;0;1;846;12,4,7,17,5,1,3,14,2,10,13,8,6,11,0,16,15,9;0,998;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;12,11,10,14,8,15,6,4,5,7,16,9,17,13,3,1,0,2;3,5446;1;64;14,10,2,3,13,1,0,11,12,15,6,4,5,16,7,17,9,8;1,0019;1;751;1,3,2,12,6,0,11,17,10,8,5,9,15,4,14,16,7,13;0,9989;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;2,9677;1;249;1,0,2,11,12,4,5,7,16,6,14,10,13,17,9,8,15,3;0;1;933;8,14,4,6,0,2,12,11,13,7,3,17,15,9,16,1,5,10;1,9982;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;2,5202;1;152;7,1,3,13,5,16,6,4,12,2,0,11,10,14,8,15,9,17;0,9996;1;1024;10,9,3,2,12,11,4,8,15,14,0,5,1,7,6,13,17,16;0,9993;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;2,9991;1;58;6,4,12,11,0,1,3,2,10,14,8,15,9,17,5,13,7,16;1,0005;1;947;0,6,12,14,13,4,5,16,8,9,3,15,2,10,7,17,1,11;0;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;3,0089;1;149;10,11,2,12,4,6,16,7,5,13,3,1,0,17,9,8,15,14;0;1;740;7,14,4,15,11,13,0,1,8,17,9,16,6,12,2,3,10,5;2,0001;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14,8,15;3,0424;1;154;6,15,11,12,4,5,13,7,17,9,0,1,3,2,10,14,8,16;0;1;745;7,16,0,10,11,2,9,12,6,5,14,8,1,3,15,4,17,13;1,5415;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;3,0346;1;150;3,15,8,14,11,10,4,5,13,17,9,16,7,6,12,2,0,1;2,9916;1;935;2,10,7,14,1,3,12,16,5,13,8,9,4,6,15,17,11,0;1,006;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;3,1,0,2,12,11,10,14,8,15,6,4,5,7,16,9,17,13;3,5906;1;69;14,8,16,6,11,0,1,3,13,5,7,17,9,15,4,12,2,10;5,5503;1;1028;5,3,1,14,17,12,13,16,7,9,6,10,11,0,2,15,8,4;0;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;14,8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10;2,006;1;249;3,2,0,1,7,17,9,16,15,8,14,10,6,5,4,12,11,13;1,0339;1;935;16,8,4,6,7,10,14,17,15,2,9,11,3,0,12,1,13,5;0,9648;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10,14;2,0123;1;248;2,3,14,8,15,6,16,7,5,13,17,9,1,0,12,4,10,11;0,9997;1;844;11,12,3,2,4,7,17,5,0,13,16,8,14,6,1,9,10,15;0,9673;1
TSP_DATA_18x18_2024-05-22-17-00-37;45;14,8,15,6,4,5,7,16,9,17,13,3,1,0,2,12,11,10;3,0844;1;58;1,3,13,5,17,9,8,16,7,6,4,12,15,14,10,11,2,0;1,0333;1;845;12,0,11,1,13,7,8,17,5,10,9,4,16,6,15,3,2,14;0,9993;1
